CTFT id;Family;Species;Specific gravity;Country;Sub-continent;Herbarium occurrence
256;FABACEAE;Dussia martinicensis Krug & Urb. ex Taub.;0.41;Antilles françaises;Amerique Centrale et Antilles;0
257;MENISPERMACEAE;Abuta rufescens Aubl.;0.62;Guyane Francaise;Amerique du Sud;0
258;LAURACEAE;Caryodaphnopsis tonkinensis (H.Lec.) Airy Shaw;0.63;Vietnam;Asie continentale;0
259;BIGNONIACEAE;Kigelia africana Benth.;0.78;Senegal;Afrique;0
260;FABACEAE;Erythrina variegata L.;0.2;Reunion;Ocean Indien;0
261;BURSERACEAE;Tetragastris panamensis (Engl.) Kuntze.;;Guyane Francaise;Amerique du Sud;0
262;VIOLACEAE;Rinorea oblongifolia (C.H.Wright) Marquand ex Chipp;0.75;Cameroun;Afrique;1
263;VOCHYSIACEAE;Ruizterania albiflora (Warm.) Marc.-Berti;;Guyane Francaise;Amerique du Sud;0
264;MELIACEAE;Cedrela sp;;Guyane Francaise;Amerique du Sud;0
265;VOCHYSIACEAE;Erisma uncinatum Warm.;;Guyane Francaise;Amerique du Sud;0
266;VOCHYSIACEAE;Ruizterania retusa Spruce ex Warm.) Marc.-Berti;0.83;Bresil n.p.;Amerique du Sud;0
267;VOCHYSIACEAE;Qualea rosea Aubl.;;Guyane Francaise;Amerique du Sud;0
268;VOCHYSIACEAE;Qualea rosea Aubl.;;Guyane Francaise;Amerique du Sud;0
269;VOCHYSIACEAE;Qualea sp;;Guyane Francaise;Amerique du Sud;0
270;VOCHYSIACEAE;Ruizterania albiflora (Warm.) Marc.-Berti;;Guyane Francaise;Amerique du Sud;0
271;VOCHYSIACEAE;Vochysia vismiifolia Spruce ex Warm.;;Bresil n.p.;Amerique du Sud;0
272;VOCHYSIACEAE;Vochysia sp;;Guyane Francaise;Amerique du Sud;0
273;CUNONIACEAE;Codia montana J.R. & G.Forst.;0.95;Nouvelle Caledonie;Oceanie;0
274;CALOPHYLLACEAE;Calophyllum caledonicum Vieill. ex Planch. & Triana;;Nouvelle Caledonie;Oceanie;0
275;CALOPHYLLACEAE;Calophyllum caledonicum Vieill. ex Planch. & Triana;;Nouvelle Caledonie;Oceanie;0
276;CALOPHYLLACEAE;Calophyllum caledonicum Vieill. ex Planch. & Triana;0.97;Nouvelle Caledonie;Oceanie;0
277;MELIACEAE;Dysoxylum macranthum C.DC.;1.04;Nouvelle Caledonie;Oceanie;0
